2021-05-29T15:53:51.437+0300	INFO	starting kubemq sources connectors version: 	{"source": "main"}
2021-05-29T15:53:51.453+0300	INFO	1 bindings loaded	{"source": "config"}
2021-05-29T15:53:51.455+0300	INFO	binding: source-1 target: initialized successfully	{"source": "source-1"}
2021-05-29T15:53:51.455+0300	INFO	binding: source-1, source: , initialized successfully	{"source": "source-1"}
2021-05-29T15:53:51.455+0300	INFO	binding: source-1, initialized successfully	{"source": "source-1"}
2021-05-29T15:53:51.456+0300	INFO	binding: source-1, started successfully	{"source": "source-1"}
2021-05-29T16:43:38.333+0300	INFO	1 bindings loaded	{"source": "config"}
2021-05-29T16:43:38.333+0300	INFO	config file changed, reloading...	{"source": "config"}
2021-05-29T16:43:38.334+0300	INFO	binding: source-1, stopped successfully	{"source": "source-1"}
2021-05-29T16:43:38.334+0300	INFO	binding: source-1 target: initialized successfully	{"source": "source-1"}
2021-05-29T16:43:38.334+0300	INFO	binding: source-1, source: , initialized successfully	{"source": "source-1"}
2021-05-29T16:43:38.334+0300	INFO	binding: source-1, initialized successfully	{"source": "source-1"}
2021-05-29T16:43:38.334+0300	INFO	binding: source-1, started successfully	{"source": "source-1"}
2021-05-29T17:25:39.396+0300	INFO	1 bindings loaded	{"source": "config"}
2021-05-29T17:25:39.397+0300	INFO	config file changed, reloading...	{"source": "config"}
2021-05-29T17:25:39.397+0300	INFO	binding: source-1, stopped successfully	{"source": "source-1"}
2021-05-29T17:25:39.397+0300	INFO	binding: source-1 target: initialized successfully	{"source": "source-1"}
2021-05-29T17:25:39.397+0300	INFO	1 bindings loaded	{"source": "config"}
2021-05-29T17:25:39.397+0300	INFO	binding: source-1, source: , initialized successfully	{"source": "source-1"}
2021-05-29T17:25:39.397+0300	INFO	binding: source-1, initialized successfully	{"source": "source-1"}
2021-05-29T17:25:39.398+0300	INFO	binding: source-1, started successfully	{"source": "source-1"}
2021-05-29T17:25:41.541+0300	INFO	binding: source-1, stopped successfully	{"source": "source-1"}
